County,Total,Male,Female,Intersex
KENYA,"32,732,596","16,195,922","16,535,833",841
Mombasa,-,-,-,-
Kwale,"740,389","362,726","377,650",13
Kilifi,"1,059,899","512,765","547,115",19
Tana River,"240,221","120,696","119,524",1
Lamu,"105,474","56,570","48,902",2
Taita/Taveta,"246,897","126,717","120,178",2
Garissa,"630,463","349,423","281,013",27
Wajir,"604,089","320,562","283,500",27
Mandera,"596,990","299,428","297,535",27
Marsabit,"352,546","188,758","163,772",16
Isiolo,"142,333","76,435","65,894",4
Meru,"1,406,796","699,532","707,228",36
Tharaka-Nithi,"360,434","177,716","182,712",6
Embu,"532,675","267,126","265,534",15
Kitui,"1,082,168","522,943","559,193",32
Machakos,"1,007,854","504,247","503,582",25
Makueni,"910,577","450,482","460,075",20
Nyandarua,"571,754","282,499","289,240",15
Nyeri,"608,409","300,893","307,488",28
Kirinyaga,"474,187","237,086","237,083",18
Murang'a,"938,213","467,062","471,121",30
Kiambu,"711,450","355,557","355,866",27
Turkana,"786,185","406,490","379,675",20
West Pokot,"589,400","291,469","297,916",15
Samburu,"263,195","133,058","130,130",7
Trans Nzoia,"811,607","400,606","410,978",23
Uasin Gishu,"652,981","326,269","326,700",12
Elg eyo/Marakwet,"433,901","217,344","216,548",9
Nandi,"826,232","411,715","414,497",20
Baringo,"591,474","299,456","292,006",12
Laikipia,"391,200","196,277","194,909",14
Nakuru,"1,115,122","559,639","555,458",25
Narok,"1,057,521","529,224","528,276",21
Kajiado,"495,218","250,233","244,970",15
Kericho,"808,239","402,717","405,500",22
Bomet,"847,718","420,119","427,577",22
Kakamega,"1,682,239","806,682","875,526",31
Vihiga,"531,629","255,727","275,892",10
Bungoma,"1,480,458","720,235","760,194",29
Busia,"779,928","371,289","408,611",28
Siaya,"907,766","431,450","476,301",15
Kisumu,"714,668","344,721","369,939",8
Homa Bay,"1,018,871","485,991","532,861",19
Migori,"949,236","455,887","493,318",31
Kisii,"1,115,450","531,860","583,560",30
Nyamira,"558,540","268,241","290,286",13
Nairobi City,-,-,-,-
