Facility Number,Facility Name,Common Name,Registration Status,Created At,Updated At,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude,Date Opened,National Grid,Generator,Solar Panels,No Electricity,Other
113310-7,2001 GEM PLUS,,Registered,2019-03-27T18:14:11.000Z,2019-05-28T17:32:43.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Butimba,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/MWZ/AUT/06,,-2.563525,32.912659,,0,0,0,0,0
100017-3,202 KJ,,,2013-08-20T10:23:40.000Z,2018-08-20T11:36:15.000Z,Central Zone,Not set,Not set,Not set,Not set,Not set,Dispensary,Closed,Public - Military,,,-5.05716,32.82869,,0,0,0,0,0
108548-9,23kj,Jeshini / JWTZ,,2014-03-13T11:46:08.000Z,2019-05-19T01:52:06.000Z,Lake Zone,Kagera,Biharamulo,Biharamulo DC,Biharamulo Mjini,Biharamulo Mjini,Dispensary,Operating,Public - Military,,,-2.63157,31.33744,,0,0,0,0,0
110967-7,24kj,24kj,Registered,2015-10-07T06:45:39.000Z,2018-07-02T09:12:10.000Z,Western Zone,Kigoma,Kigoma,Kigoma Ujiji MC,Mwanga Kusini,Vamiya,Dispensary,Operating,Public - Military,,,-4.89334,29.63601,,0,0,0,0,0
100019-9,511KJ Gongo la Mboto,Hospitali ya jeshi,Registered,2013-08-20T10:23:40.000Z,2019-11-07T18:44:21.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Gongo la Mboto,G/Mboto,Dispensary,Operating,Public - Military,,,-6.88878,39.15133,15/07/1992,1,0,0,0,0
100020-7,512KJ,MTC,Registered,2013-08-20T10:23:40.000Z,2019-08-27T07:27:33.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Butimba,Iseni,Dispensary,Operating,Public - Military,,,-2.58227,32.91911,,1,0,0,0,0
100021-5,514KJ,Zahanati ya Jeshi,Registered,2013-08-20T10:23:40.000Z,2019-11-15T11:41:45.000Z,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Ubena,Ubena,Dispensary,Operating,Public - Military,,,-8.83274,34.839154,01/07/1973,0,0,0,0,0
100542-0,821KJ,Zahanati ya Bulombora,Registered,2013-08-20T10:25:27.000Z,2015-12-10T08:58:11.000Z,Western Zone,Kigoma,Kigoma,Kigoma DC,Mwamgongo,Mwamgongo,Dispensary,Operating,Public - Military,,,-5.034967,29.789642,,0,0,0,0,0
110841-4,909 Dental Centre,909 Dental,Registered,2015-07-29T13:05:38.000Z,2017-02-28T11:38:42.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Magharibi,Mfaume,Clinic - Dental Clinic,Operating,Private - For Profit,72422,,-6.809073,39.27917,02/12/2014,1,1,0,0,0
100024-9,A and A,Kwa Kasela,Registered,2013-08-20T10:23:41.000Z,2019-05-29T11:29:38.000Z,Southern Highlands Zone,Mbeya,Mbarali,Mbarali DC,Ubaruku,Utyego,Dispensary,Operating,Private - For Profit,128204,,-8.67632,34.304,24/01/2002,1,0,0,0,1
100025-6,AA&B,AAB&R,Not Registered,2013-08-20T10:23:41.000Z,2019-11-14T17:24:42.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kibasila,Clinic - Diagnostic Centre,Operating,Private - For Profit,72368,,-6.800753,39.27466,19/10/2009,1,0,0,0,0
110968-5,AAR,AAR POLLY-CLINIC,Registered,2015-12-17T08:07:41.000Z,2018-10-17T05:45:54.000Z,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Mbugani,Mbugani 'B',Dispensary,Operating,Private - For Profit,,,-2.522568,32.911583,,0,0,0,0,0
100030-6,AAR,AAR,Registered,2013-08-20T10:23:42.000Z,2019-02-28T12:58:33.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kisutu,Kisutu,Clinic - Polyclinic,Operating,Private - NGOs,72329,,-6.81643,39.2856,19/08/2009,1,1,0,0,0
100031-4,AAR,AAR Chato,Registered,2013-08-20T10:23:42.000Z,2019-02-28T12:57:25.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mikocheni,Regent Estate,Clinic - Polyclinic,Operating,Private - For Profit,71275,,-6.77842,39.25741,,1,1,0,0,0
100029-8,AAR,AAR,Registered,2013-08-20T10:23:42.000Z,2019-05-23T13:52:35.000Z,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Clinic - Polyclinic,Operating,Private - For Profit,23235,,-3.37317,36.7018,05/11/2018,1,1,0,0,0
109574-4,AAR KIA,,Registered,2015-03-27T11:26:18.000Z,2019-05-23T09:55:23.000Z,Northern Zone,Kilimanjaro,Hai,Hai DC,KIA,Kia,Dispensary,Operating,Private - For Profit,35221,,-3.44194,37.06679,,1,0,0,0,0
110844-8,AAR Mbagala,AAR Mbagala Clinic,Registered,2015-07-29T13:26:57.000Z,2019-08-06T08:04:59.000Z,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Mbagala,Moringe,Clinic - Polyclinic,Operating,Private - For Profit,73364,,-6.91034,39.26977,01/06/2015,1,0,0,0,0
108660-2,AAR Sinza,AAR Sinza,Registered,2014-07-18T17:17:36.000Z,2019-02-28T13:10:34.000Z,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza C,Clinic - Polyclinic,Operating,Private - For Profit,,,-6.788666,39.221832,03/06/2013,1,1,0,0,0
111438-8,AAR Tabata,AAR Tabata,Registered,2016-08-11T12:18:39.000Z,2019-11-14T12:45:03.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Tabata,Tabata,Clinic - Polyclinic,Operating,Private - For Profit,,,-6.84306,39.20898,01/05/2015,1,1,0,0,0
108681-8,AAR Tegeta,AAR Tegeta,Registered,2014-10-07T10:41:27.000Z,2019-02-28T14:03:21.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Wazo,Wazo,Clinic - Polyclinic,Operating,Private - For Profit,71438,,-6.65972,39.18128,17/01/2014,1,0,0,0,0
109828-4,Abbas Medical Centre,Dr. Abbas,Registered,2015-03-30T06:06:50.000Z,2016-04-22T18:14:27.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Jangwani,Mtambani,Dispensary,Operating,Private - For Profit,72016,,-6.81513,39.27406,18/07/1994,1,1,0,0,0
112493-2,Abbys,Abbys,Registered,2019-02-04T15:46:33.000Z,2019-11-14T13:25:34.000Z,Southern Highlands Zone,Katavi,Mpanda,Mpanda MC,Kashaulili,Kashaulili,Health Center,Operating,Private - For Profit,15121,,-6.34429,31.07279,06/05/2019,0,1,0,0,1
112327-2,Abduelrazaq Mohamed Saleh,Abduelrazaq Mohamed Saleh,Registered,2018-08-14T13:29:23.000Z,2019-05-28T15:22:16.000Z,Western Zone,Kigoma,Kigoma,Kigoma Ujiji MC,Gungu,Masanga,Dispensary,Operating,Private - Faith based organization (FBO) - Other Denominations,,,-4.85826,29.65142,20/06/2018,0,1,0,0,0
113780-1,Abiga,Abiga,Registered,2019-09-10T05:48:47.000Z,2020-03-09T16:52:53.000Z,Lake Zone,Mwanza,Misungwi,Misungwi DC,Misungwi,Not set,Maternity Home,Operating,Private - For Profit,,,-2.837972,33.089104,09/06/2019,1,0,0,0,0
110005-6,Access,Kwa Mathias,Registered,2015-05-25T11:07:04.000Z,2018-08-03T06:37:00.000Z,Eastern Zone,Pwani,Kibaha,Kibaha TC,Mkuza,Mkuza,Dispensary,Closed,Private - For Profit,62215,,-6.75485,38.9324,,1,0,0,0,0
112702-6,Access Medical & Diagnostic,72533,Registered,2019-03-05T05:50:10.000Z,2019-11-14T17:27:16.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kitonga,Clinic - Other Clinic,Operating,Private - For Profit,,,-6.80312,39.27877,02/07/2018,1,0,0,0,0
110779-6,Access Medical and Dialysis Centre,Access Medical and Dialysis Centre,Registered,2015-07-17T09:58:50.000Z,2016-04-21T09:40:33.000Z,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Msasani,Bonde la Mpunga,Clinic - Other Clinic,Operating,Private - For Profit,71411,,-6.76675,39.26138,,1,1,0,0,0
111629-2,ACDK,DMK Eye Clinic,Registered,2017-01-18T06:07:22.000Z,2017-05-22T10:54:34.000Z,Northern Zone,Manyara,Kiteto,Kiteto DC,Partimbo,Partimbo,Clinic - Eye Clinic,Operating,Private - Faith based organization (FBO),,,-5.32693,36.5677,30/11/2016,1,0,0,0,0
Not set,Achwi,Achwi,Not Registered,2020-02-05T12:46:04.000Z,2020-02-05T12:46:04.000Z,Central Zone,Dodoma,Kondoa,Kondoa TC,Bolisa,Not set,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-4.77252,35.78413,,0,0,0,0,0
113997-1,Aclane,Kwa Mushi,Registered,2020-01-31T10:22:42.000Z,2020-01-31T10:22:42.000Z,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Mlimba,Mlimba 'A',Dispensary,Operating,Private - For Profit,53227,,-8.77998,35.81071,27/01/2020,1,1,0,0,0
112995-6,Adefa Optical Centre,Adefa Optical Centre,Registered,2019-03-10T09:14:29.000Z,2019-09-02T11:08:18.000Z,Southern Zone,Mtwara,Mtwara,Mtwara MC,Shangani,Ligula umoja,Clinic - Optometry Clinic,Operating,Private - For Profit,6,,-10.27169,40.18213,31/05/2012,1,0,0,0,0
111902-3,Adricardo,Adrikalo,Registered,2017-10-31T05:47:21.000Z,2019-11-14T12:45:58.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Upanga Mashariki,Kitonga,Clinic - Specialized Polyclinic,Operating,Private - For Profit,72470,,-6.80516,39.27842,01/08/2017,1,1,0,0,0
112008-8,Advert,advent,Registered,2018-01-16T19:48:00.000Z,2020-02-26T06:49:42.000Z,Southern Highlands Zone,Katavi,Mpanda,Mpanda MC,Kashaulili,Kashaulili,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,PHL-C/KTV/AUT/01,,-6.34682,31.07613,01/07/2018,0,1,0,0,0
112426-2,Aeromeda,Aeromeda super specialized clinic,Registered,2018-12-13T10:11:03.000Z,2019-08-14T07:51:19.000Z,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Shariff Shamba,Clinic - Specialized Polyclinic,Operating,Private - For Profit,72528,,-6.828327,39.255942,04/09/2018,1,1,0,0,0
110995-8,Afana Eye,Afana,Registration Pending Certification,2015-10-15T08:02:18.000Z,2019-05-29T09:38:43.000Z,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Sisimba,Tanesco,Clinic,Operating,Private - For Profit,,,-8.89592,33.44146,01/08/2013,1,0,0,0,0
