#"idGeo","Facility","type","Ext Ref","Payam","County","State","Deleted","Indicators","Sampled","Pilot Accessible","Pilot Operational","Extension Accessible","Extension Operational","Alternate Names","Location","ACLED Refs"
1,"140th SPLA Battalion","Other","FC10080402","Tambura","Tambura County","Gbudwe","",0,0,0,0,0,0,"","5.52066, 27.46684",""
2,"Abara PHCC","Primary Health Care Centre","FC02070702","Unknown Payam In Magwi","Magwi County","Imatong","",130,1,0,0,1,1,"Ababa PHCC, abara-phcc","4.08234, 32.17893",""
3,"Abeer PHCU","Primary Health Care Unit","FC04030602","Matangai","Rumbek Centre County","Western Lakes","",0,0,0,0,0,0,"abeer-phcu","6.81351, 29.61855",""
4,"Abegi PHCU","Primary Health Care Unit","FC01060402","wotogo","Yei County","Yei River","",114,1,0,0,0,0,"Abegi, abegi-phcu","4.03105, 30.58829",""
5,"Abeu PHCU","Primary Health Care Unit","FC09010702","Udici","Jur River County","Wau","",0,0,0,0,0,0,"","8.00720, 27.73421",""
6,"Abiei-Cok PHCU (Cueibet)","Primary Health Care Unit","FCRAZ0000033","Duony","Cueibet County","Gok","",660,1,1,1,1,1,"Abiechok","6.96353, 29.38002",""
7,"Abiemnhom PHCC","Primary Health Care Centre","FC06010102","Abiemnom","Abiemnon County","Ruweng","",135,1,0,0,1,1,"abiemnhom-phcc, Abiemnom PHCC","10.00000, 30.00000",""
8,"Abinajok PHCU","Primary Health Care Unit","FC04030404","Jiir","Rumbek Centre County","Western Lakes","",117,1,0,0,1,1,"Abinajok, abinajok-phcu","6.80524, 29.67681",""
9,"Abiriu PHCC","Primary Health Care Centre","FC04020102","Abiriu","Cueibet County","Gok","",132,1,0,0,1,1,"Abiriu, abiriu-phcc","6.93548, 29.43481",""
10,"Aboroto PHCC (Morobo)","Primary Health Care Centre","FC01040302","Lujule","Morobo County","Yei River","",464,1,1,1,0,0,"aboroto-phcc","4.94530, 31.57260",""
11,"Abu Shaka PHCU","Primary Health Care Unit","FC09030202","Besselia","Bagari County","Wau","",114,1,0,0,0,0,"Abu Sakka PHCU, abu-shaka-phcu","7.74982, 27.63635",""
