ID,COUNTRY_NAME,ISO2,SITE_NAME,LATITUDE,LONGITUDE,VECTOR_SPECIES_COMPLEX,VECTOR_SPECIES,STAGE,YEAR_START,MONTH_START,YEAR_END,MONTH_END,SAMPLING_METHOD,MOSQUITO_NUMBER,BREEDING_HABITAT,ID_METHOD,CITATION,CITATION_URL,DATA_CURATOR,INVASIVE_STATUS
457,United Arab Emirates,AE,Dubai,25.274000,55.327000,An. stephensi s.l.,NR,NR,1986,NR,1986,NR,NR,NR,NR,NR,"Enayati, A.A., Vatandoost, H., Ladonni, H., Townson, H. and Hemingway, J. (2003).  Molecular evidence for a kdr-like pyrethroid resistance mechanism in the malaria vector mosquito  Anopheles stephensi. Medical and Veterinary Entomology, 17(2):138-44",https://www.ncbi.nlm.nih.gov/pubmed/12823830," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
434,Afghanistan,AF,Jalalabad,34.443000,70.448000,An. stephensi s.l.,NR,ADULTS STAGE,1998,JUNE,1998,JULY,man biting outdoors,NR,NR,NR,"Rowland, M., Freeman, T., Downey, G., Hadi, A. and Saeed, M. (2004).  DEET mosquito repellent sold through social marketing provides personal protection against malaria in an area of all-night mosquito biting and partial coverage of insecticide-treated nets: a case-control study of effectiveness. Tropical Medicine & International Health, 9(3):343-50",https://www.ncbi.nlm.nih.gov/pubmed/14996363," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",native
1100,Djibouti,DJ,Arhiba Quarter #1 - Djibouti City,11.589000,43.140000,An. stephensi s.l.,NR,NR,2013,MARCH,2013,MARCH,NR,NR,NR,morphology,"Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1101,Djibouti,DJ,Arhiba Quarter #2 - Djibouti City,11.584000,43.136000,An. stephensi s.l.,NR,NR,2013,MARCH,2013,MARCH,NR,NR,NR,morphology,"Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1087,Djibouti,DJ,Sheraton Hotel - Djibouti City (ML2),11.602000,43.157000,An. stephensi s.l.,NR,NR,2013,FEBRUARY,2013,FEBRUARY,NR,NR,NR,"morphology, DNA sequencing","Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1088,Djibouti,DJ,Sheraton Hotel - Djibouti City (ML2),11.602000,43.157000,An. stephensi s.l.,NR,NR,2013,FEBRUARY,2013,MARCH,NR,NR,NR,"morphology, DNA sequencing","Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1089,Djibouti,DJ,Sheraton Hotel - Djibouti City (ML2),11.602000,43.157000,An. stephensi s.l.,NR,NR,2013,MARCH,2013,APRIL,NR,NR,NR,"morphology, DNA sequencing","Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1090,Djibouti,DJ,Sheraton Hotel - Djibouti City (ML2),11.602000,43.157000,An. stephensi s.l.,NR,NR,2013,APRIL,2013,APRIL,NR,NR,NR,"morphology, DNA sequencing","Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1091,Djibouti,DJ,Sheraton Hotel - Djibouti City (ML2),11.602000,43.157000,An. stephensi s.l.,NR,NR,2013,APRIL,2013,MAY,NR,NR,NR,"morphology, DNA sequencing","Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
1092,Djibouti,DJ,Sheraton Hotel - Djibouti City (ML2),11.602000,43.157000,An. stephensi s.l.,NR,NR,2013,MAY,2013,MAY,NR,NR,NR,"morphology, DNA sequencing","Faulde et al (2014). First record of the Asian malaria vector Anopheles stephensi and its possible role in the resurgence of malaria in Djibouti, Horn of Africa. Acta Trop. 139:39-43",https://www.ncbi.nlm.nih.gov/pubmed/25004439," Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI. 10.1073/pnas.2003976117ct",
