ID,STATE,COUNTY,PAYAM,FACIL_NAME,FACIL_NAME2,LATITUDE,LONGITUDE,Q_CODE,HF_CODE,HF_TYPE,FUNCTIONAL Status,Source
178,Central Equatoria,Juba,Juba Town,AIC BULUK,Aic Buluk,4.847180,31.593550,92093,15,PHCU,Functional,
184,Central Equatoria,Juba,Lokiliri,ARU HEALTH UNIT,Aru Health Unit,4.363540,31.984600,92235,15,PHCU,Functional,
189,Central Equatoria,Juba,Juba Town,BELPHAM MEDICAL HQ,Belpham Medical Hq,4.818900,31.577120,92206,14,PHCC,,
191,Central Equatoria,Juba,,BILINANG PHCU,Bilinang PHCU,4.854260,31.791020,92228,15,PHCU,,
192,Central Equatoria,Juba,Northern Bari,BILINGI PHCU,Bilingi PHCU,4.903310,31.379850,92201,15,PHCU,Non Functional,
196,Central Equatoria,Juba,Northern Bari,DARI PHCU,Dari PHCU,5.166350,31.586550,92267,15,PHCU,Non Functional,
201,Central Equatoria,Juba,Juba Town,EGYPTIAN CLINIC,Egyptian Clinic,4.856580,31.609060,92208,17,Specialized Hospital,,
205,Central Equatoria,Juba,Ganji,GANJI PHCC,Ganji PHCC,4.454250,31.209770,92013,15,PHCU,Functional,
209,Central Equatoria,Juba,Rokon,GIMORO PHCU,Gimoro PHCU,5.166040,31.141760,92230,15,PHCU,Functional,
216,Central Equatoria,Juba,Juba Town,GOOD SHEPERD CLINIC,Good Sheperd Clinic,4.858960,31.608850,92205,14,PHCC,,
217,Central Equatoria,Juba,Munuki,GUDELE PHCU,Gudele PHCU,4.863260,31.567650,92210,15,PHCU,Functional,
218,Central Equatoria,Juba,Dolo,GUGUDU PRIMARY,Gugudu Primary,5.111373,31.374950,92090,15,PHCU,Functional,
219,Central Equatoria,Juba,Rejaf,GUMBO PHCU,Gumbo PHCU,4.814900,31.622670,92256,15,PHCU,Functional,
220,Central Equatoria,Juba,Tijor,GURULOTOGU PHCU,Gurulotogu PHCU,5.198380,31.199300,92248,15,PHCU,Functional,
221,Central Equatoria,Juba,Lirya,ILYANGIRI PHCU,Ilyangiri PHCU,4.676910,32.035560,92213,15,PHCU,Functional,
222,Central Equatoria,Juba,Juba Town,INTERNATIONAL HOSP Juba,International Hosp Juba,4.835420,31.615190,92089,16,Private Clinic,,
224,Central Equatoria,Juba,Lokiliri,JALITE GIKOKUE PHCU,Jalite Gikokue PHCU,4.689390,31.857530,92108,15,PHCU,Functional,
230,Central Equatoria,Juba,Juba Town,JUBA CENTRAL PRISON,Juba Central Prison,4.850170,31.617890,92092,96,Other,,
231,Central Equatoria,Juba,Munuki,JUBA GUREYI PHCU,Juba Gureyi PHCU,4.866670,31.518510,92105,15,PHCU,,
232,Central Equatoria,Juba,Juba Town,JUBA MILITARY HOSPITAL,Juba Military Hospital,4.831430,31.582270,92216,96,Other,Functional,
233,Central Equatoria,Juba,Juba Town,JUBA POLICE HOSPITAL,Juba Police Hospital,4.851370,31.585540,92232,12,State Hospital,Functional,
234,Central Equatoria,Juba,Juba Town,JUBA PRISON H.CENTRE,Juba Prison H.Centre,4.848550,31.613210,92223,14,PHCC,,
235,Central Equatoria,Juba,Juba Town,JUBA TEACHING HOSPT,Juba Teaching Hospt,4.850740,31.609140,92269,11,Teaching Hospital,Functional,
236,Central Equatoria,Juba,Kator,JUBA UNIVERSITY C.,Juba University C.,4.840380,31.591320,92225,17,Specialized Hospital,,
238,Central Equatoria,Juba,Ganji,KAGWADA PHCU,Kagwada PHCU,4.454230,31.209770,92264,15,PHCU,Functional,
243,Central Equatoria,Juba,Wonduruba,KATIGIRI PHCC,Katigiri PHCC,4.893490,30.831710,92260,14,PHCC,Functional,
244,Central Equatoria,Juba,Kator,KATOR HEALTH CENTRE,Kator Health Centre,4.831080,31.596620,92207,14,PHCC,Functional,
248,Central Equatoria,Juba,Dolo,KERA PHCC,Kera PHCC,4.893030,30.833910,92221,14,PHCC,Functional,
274,Central Equatoria,Juba,Lokiliri,KUBI PHCU,Kubi PHCU,4.390240,31.922670,92262,15,PHCU,,
275,Central Equatoria,Juba,Dolo,KUDA H/C,Kuda H/C,4.851120,31.585310,92209,14,PHCC,Functional,
279,Central Equatoria,Juba,Northern Bari,KWEREJIK LURI PHCU,Kwerejik Luri PHCU,4.851410,31.585500,92214,15,PHCU,,
283,Central Equatoria,Juba,Ganji,LANGI PHCU,Langi PHCU,4.363410,31.327240,92088,15,PHCU,Functional,
288,Central Equatoria,Juba,Tijor,LIGI,Ligi,5.092180,31.301610,92249,15,PHCU,Functional,
293,Central Equatoria,Juba,Lirya,LIRYA HEALTH CENTRE,Lirya Health Centre,4.385630,32.046420,92257,14,PHCC,,
295,Central Equatoria,Juba,Lobonok,LOBONOK PHCU,Lobonok PHCU,4.177060,31.372490,92003,14,PHCC,Functional,
297,Central Equatoria,Juba,,Logo (Tibari) PHCU,Logo (Tibari) PHCU,0.000000,0.000000,92002,15,PHCU,Functional,
305,Central Equatoria,Juba,Kator,LOLOGO PHCC,Lologo PHCC,4.817290,31.595640,92215,14,PHCC,Functional,
314,Central Equatoria,Juba,Wonduruba,LOTEMBA PHCU,Lotemba PHCU,4.738750,30.935360,92231,15,PHCU,Functional,
318,Central Equatoria,Juba,Northern Bari,LURI ROKWE PHCU,Luri Rokwe PHCU,4.898220,31.595590,92095,15,PHCU,Functional,
319,Central Equatoria,Juba,Juba Town,LURI SOMBA PHCU,Luri Somba PHCU,4.887280,31.403170,92101,15,PHCU,Functional,
320,Central Equatoria,Juba,Dolo,MADIKOLOK PHCU,Madikolok PHCU,4.779470,30.921000,92266,15,PHCU,,
322,Central Equatoria,Juba,Kator,MAHAD PRIMARY SCH.,Mahad Primary Sch.,4.822250,31.596630,92265,14,PHCC,Functional,
324,Central Equatoria,Juba,Mangala,MAKARO PHCU,Makaro PHCU,5.079830,31.449860,92099,15,PHCU,,
326,Central Equatoria,Juba,Wonduruba,MALAKAN PHCU,Malakan PHCU,4.584280,31.026070,92229,15,PHCU,,
327,Central Equatoria,Juba,Kator,MALAKIA HCC,Malakia HCC,4.837630,31.603610,92253,15,PHCU,Functional,
330,Central Equatoria,Juba,Wonduruba,MANKARO,Mankaro,4.601940,30.960910,92252,15,PHCU,Functional,
333,Central Equatoria,Juba,Wonduruba,MENGELE PHCU,Mengele PHCU,4.636710,30.940560,92094,15,PHCU,Functional,
339,Central Equatoria,Juba,Rokon,MIRIKIYO PHCU,Mirikiyo PHCU,4.845460,31.580170,92098,16,Private Clinic,,
341,Central Equatoria,Juba,Northern Bari,MOBIL PHCU,Mobil PHCU,4.959240,31.634140,92222,15,PHCU,Non Functional,
343,Central Equatoria,Juba,Wonduruba,MOJE PHCU,Moje PHCU,4.460510,31.026750,92227,15,PHCU,Functional,
347,Central Equatoria,Juba,Mangala,MONGOLLA PHCC,Mongolla PHCC,5.196570,31.768720,92254,14,PHCC,Functional,
348,Central Equatoria,Juba,Munuki,MOROBO CLINIC (PHCU),Morobo Clinic (PHCU),4.846170,31.581600,92083,15,PHCU,,
350,Central Equatoria,Juba,Lobonok,MORSACK PHCU,Morsack PHCU,4.232560,31.356090,92001,15,PHCU,Functional,
352,Central Equatoria,Juba,Munuki,MUGIRI PHCC,Mugiri PHCC,4.888390,31.855320,92085,14,PHCC,,
357,Central Equatoria,Juba,Munuki,MUNUKI HEALTH CENTER,Munuki Health Center,4.863480,31.579330,92012,14,PHCC,Functional,
359,Central Equatoria,Juba,Juba Town,NEW SITE CLINIC,New Site Clinic,4.897330,31.589350,92102,14,PHCC,,
360,Central Equatoria,Juba,Ngangala,NGANGALA,Ngangala,4.704580,31.920320,92104,15,PHCU,Functional,
361,Central Equatoria,Juba,Lirya,NGULERE PHCU,Ngulere PHCU,4.691970,31.961880,92110,15,PHCU,Functional,
363,Central Equatoria,Juba,Northern Bari,NYAMIN PHCU,Nyamin PHCU,4.931290,31.339600,92107,15,PHCU,Functional,
366,Central Equatoria,Juba,Lobonok,NYARJUW PHCU,Nyarjuw PHCU,4.266810,31.352860,92096,15,PHCU,,
367,Central Equatoria,Juba,Munuki,NYOKURON HEALTH C,Nyokuron Health C,4.846020,31.579080,92258,14,PHCC,Functional,
368,Central Equatoria,Juba,Dolo,Nyomori PHCU,Nyomori PHCU,4.240260,30.938110,92100,15,PHCU,,
371,Central Equatoria,Juba,Dolo,NYORO,Nyoro,4.840260,30.938110,92084,15,PHCU,,
374,Central Equatoria,Juba,Lobonok,PAGER MILITARY PHCU,Pager Military PHCU,4.201970,31.634420,92109,15,PHCU,Functional,
379,Central Equatoria,Juba,Rokon,PERISA PHCU,Perisa PHCU,5.176800,31.033380,92211,15,PHCU,,
382,Central Equatoria,Juba,Rejaf,RAJAF PHCU,Rajaf PHCU,6.798210,33.132640,92255,15,PHCU,Functional,
387,Central Equatoria,Juba,Wonduruba,ROJA PHCU,Roja PHCU,4.815540,30.880080,92086,15,PHCU,Functional,
388,Central Equatoria,Juba,Rokon,ROKON PHCC,Rokon PHCC,5.130370,30.941640,92261,14,PHCC,Functional,
392,Central Equatoria,Juba,Kator,SACRET HEART PHCC,Sacret Heart PHCC,6.798210,33.132640,92103,14,PHCC,,
395,Central Equatoria,Juba,Rokon,SERENG PHCU,Sereng PHCU,4.851100,31.585330,92224,15,PHCU,Functional,
396,Central Equatoria,Juba,Dolo,SERMON PHCU,Sermon PHCU,5.015850,31.113195,92251,15,PHCU,Functional,
397,Central Equatoria,Juba,Munuki,SEVEN DAYS ADVENTIST,Seven Days Adventist,4.856650,31.577620,92250,14,PHCC,,
401,Central Equatoria,Juba,Munuki,ST.KIZITO HEALTH C,St.Kizito Health C,4.860080,31.571750,92097,14,PHCC,Functional,
402,Central Equatoria,Juba,Dolo,SURE PHCU,Sure PHCU,4.844090,31.584900,92091,15,PHCU,Functional,
405,Central Equatoria,Juba,Tijor,TIJOR PHCU,Tijor PHCU,5.259260,31.237550,92212,15,PHCU,Functional,
410,Central Equatoria,Juba,Dolo,TULYANG PHCU,Tulyang PHCU,4.779470,30.921110,92202,15,PHCU,Non Functional,
179,Central Equatoria,Kajo-Keji,Kangapo Two,AJIRA PHCU,Ajira PHCU,3.852060,31.656140,92191,15,PHCU,Functional,
180,Central Equatoria,Kajo-Keji,Kangapo Two,AJIRA PHCU,Ajira PHCU,3.852060,31.656140,92268,15,PHCU,Functional,
186,Central Equatoria,Kajo-Keji,Kangapo Two,BAMUREY PHCC,Bamurey PHCC,3.668280,31.548160,92247,14,PHCC,Functional,
194,Central Equatoria,Kajo-Keji,Kangapo Two,BORI PHCC,Bori PHCC,3.773760,31.510230,92196,14,PHCC,,
208,Central Equatoria,Kajo-Keji,Kangapo Two,GENESIS MEDICAL CARE,Genesis Medical Care,3.848920,31.658160,92120,14,PHCC,,
212,Central Equatoria,Kajo-Keji,Nyepo,GODORU PHCC,Godoru PHCC,3.938520,31.500590,92017,14,PHCC,Functional,
240,Central Equatoria,Kajo-Keji,Kangapo One,KAJOKEJI CIVIL HOSP.,Kajokeji Civil Hosp.,3.852340,31.656780,92171,13,County Hospital,Functional,
241,Central Equatoria,Kajo-Keji,Nyepo,KAMSUK PHCC,Kamsuk PHCC,4.010940,31.535140,92188,14,PHCC,Functional,
242,Central Equatoria,Kajo-Keji,Kangapo Two,KASURAK PHCU,Kasurak PHCU,3.862670,31.538830,92185,15,PHCU,Functional,
249,Central Equatoria,Kajo-Keji,Liwolo,KERWA PHCU,Kerwa PHCU,3.726220,31.582310,92186,14,PHCC,,
250,Central Equatoria,Kajo-Keji,Liwolo,KERWA PHCU,Kerwa PHCU,3.851510,31.655940,92193,15,PHCU,Functional,
251,Central Equatoria,Kajo-Keji,Kangapo One,KIGWO PHCU,Kigwo PHCU,3.869790,31.739080,92189,15,PHCU,Functional,
254,Central Equatoria,Kajo-Keji,Kangapo Two,KINYIBA PHCU,Kinyiba PHCU,3.734170,31.634790,92114,15,PHCU,Functional,
255,Central Equatoria,Kajo-Keji,Kangapo One,KIRI PHCU,Kiri PHCU,3.770260,31.635040,92183,15,PHCU,Functional,
259,Central Equatoria,Kajo-Keji,Liwolo,KK AJIO PHCU,Kk Ajio PHCU,3.838710,31.195070,92244,15,PHCU,,
260,Central Equatoria,Kajo-Keji,Kangapo Two,KK GURUJO PHCU,Kk Gurujo PHCU,3.726240,31.582570,92179,15,PHCU,,
261,Central Equatoria,Kajo-Keji,Kangapo Two,KK JALIMO PHCC,Kk Jalimo PHCC,3.759390,31.598830,92182,14,PHCC,Functional,
262,Central Equatoria,Kajo-Keji,Nyepo,KK JONDALE PHCU,Kk Jondale PHCU,3.929030,31.535120,92015,15,PHCU,,
263,Central Equatoria,Kajo-Keji,Liwolo,KK KALA PHCU,Kk Kala PHCU,3.982400,31.258850,92118,15,PHCU,,
264,Central Equatoria,Kajo-Keji,Lire,KK LIPE PHCC,Kk Lipe PHCC,3.896650,31.620240,92174,14,PHCC,,
265,Central Equatoria,Kajo-Keji,Lire,KK LONGIRA PHCU,KK Longira PHCU,3.877890,31.601060,92192,15,PHCU,,
266,Central Equatoria,Kajo-Keji,Lire,KK MERE PHCU,Kk Mere PHCU,3.889520,31.672490,92119,15,PHCU,,
267,Central Equatoria,Kajo-Keji,Lire,KK MOGIRI PHCU,Kk Mogiri PHCU,3.950630,31.595260,92184,15,PHCU,Functional,
268,Central Equatoria,Kajo-Keji,Lire,KK ROMOGI PHCU,Kk Romogi PHCU,3.908430,31.649891,92195,15,PHCU,,
269,Central Equatoria,Kajo-Keji,Kangapo One,KKKANGAI PHCC,Kkkangai PHCC,3.768970,31.656800,92199,14,PHCC,,
276,Central Equatoria,Kajo-Keji,Lire,KUDAJI PHCU,Kudaji PHCU,3.884190,31.670360,92197,15,PHCU,Functional,
286,Central Equatoria,Kajo-Keji,Kangapo One,LEIKOR PHCU,Leikor PHCU,3.807780,31.665910,92172,15,PHCU,Functional,
290,Central Equatoria,Kajo-Keji,Kangapo One,LIMI PHCU,Limi PHCU,3.802760,31.715160,92112,15,PHCU,Functional,
291,Central Equatoria,Kajo-Keji,Kangapo One,LIMI TWO PHCU,Limi Two PHCU,3.803770,31.698460,92016,15,PHCU,Functional,
294,Central Equatoria,Kajo-Keji,Liwolo,LIWOLO MISSIONARIES,Liwolo Missionaries,3.795080,31.429860,92181,13,County Hospital,,
296,Central Equatoria,Kajo-Keji,Kangapo Two,LOGILI PHCU,Logili PHCU,3.843600,31.637510,92177,15,PHCU,Functional,
299,Central Equatoria,Kajo-Keji,Kangapo Two,LOGU PHCU,Logu PHCU,3.835560,31.618880,92115,15,PHCU,Functional,
307,Central Equatoria,Kajo-Keji,Kangapo One,LOMIN PHCU,Lomin PHCU,3.824870,31.659450,92198,14,PHCC,Functional,
